Id	letter	AREA	PERIMETER	COUNTY	STATE	ID_1	CNTY_AREA	new_area
150	T	3418.625	294.584	CAMERON	Texas	48061	3086.1	9.14743085374
83	I	3418.625	294.584	CAMERON	Texas	48061	3086.1	3319.65079215000
83	I	2054.548	217.460	HIDALGO	Texas	48215	1854.7	2051.57436600000
83	I	2645.957	253.945	NUECES	Texas	48355	2388.6	0.22055684391
83	I	1463.516	162.177	ZAPATA	Texas	48505	1321.1	1463.29567293000
83	I	2777.378	222.375	STARR	Texas	48427	2507.2	2774.30476044000
83	I	2645.957	253.945	NUECES	Texas	48355	2388.6	0.10805078209
150	T	2645.957	253.945	NUECES	Texas	48355	2388.6	0.10805078209
83	I	2645.957	253.945	NUECES	Texas	48355	2388.6	28.77133671010
83	I	2645.957	253.945	NUECES	Texas	48355	2388.6	13.89775303550
150	T	2645.957	253.945	NUECES	Texas	48355	2388.6	13.89775303550
83	I	2645.957	253.945	NUECES	Texas	48355	2388.6	1.30703207236
150	T	2645.957	253.945	NUECES	Texas	48355	2388.6	1.30703207236
150	T	2645.957	253.945	NUECES	Texas	48355	2388.6	1523.89312314000
83	I	2645.957	253.945	NUECES	Texas	48355	2388.6	1077.75950619000
83	I	2088.325	186.686	DUVAL	Texas	48131	1885.2	2088.32555112000
83	I	2171.542	190.059	ENCINAL	Texas	48511	1960.3	2171.54213105000
150	T	1220.763	153.816	LIVE OAK	Texas	48297	1102.0	19.97597659050
150	T	1220.763	153.816	LIVE OAK	Texas	48297	1102.0	0.62391961237
150	T	750.630	116.772	SAN PATRICIO	Texas	48409	677.6	669.78827141200
150	T	750.630	116.772	SAN PATRICIO	Texas	48409	677.6	0.21647425846
150	T	750.630	116.772	SAN PATRICIO	Texas	48409	677.6	0.21647425846
150	T	750.630	116.772	SAN PATRICIO	Texas	48409	677.6	21.62016155950
83	I	750.630	116.772	SAN PATRICIO	Texas	48409	677.6	59.00537476430
150	T	957.024	151.529	REFUGIO	Texas	48391	863.9	6.66011301239
150	T	957.024	151.529	REFUGIO	Texas	48391	863.9	2.80969884927
150	T	957.024	151.529	REFUGIO	Texas	48391	863.9	2.80969884927
83	I	1707.215	213.162	WEBB	Texas	48479	1541.1	1707.21475633000
83	I	957.024	151.529	REFUGIO	Texas	48391	863.9	60.49630975170
83	I	957.024	151.529	REFUGIO	Texas	48391	863.9	11.25935269330
150	T	957.024	151.529	REFUGIO	Texas	48391	863.9	11.25935269330
150	T	957.024	151.529	REFUGIO	Texas	48391	863.9	875.79867722100
