FID_us1920	AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	FID_us1870	AREA_1	PERIMETE_1	COUNTY_1	STATE_1	ID_1	CNTY_ARE_1	new_area
0	2310.268	256.190	WHATCOM	Washington	53073	2082.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	2310.232
0	2310.268	256.190	WHATCOM	Washington	53073	2082.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	0.000
1	1866.918	224.962	CLALLAM	Washington	53009	1726.0	1	1828.394	222.468	CLALLAM	Washington	53009	1650.5	1827.435
1	1866.918	224.962	CLALLAM	Washington	53009	1726.0	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	39.479
2	202.590	93.506	SAN JUAN	Washington	53055	178.0	2	203.316	93.389	SAN JUAN	Washington	53055	179.0	202.371
3	5924.098	377.442	OKANOGAN	Washington	53047	5221.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	0.007
3	5924.098	377.442	OKANOGAN	Washington	53047	5221.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	5924.090
4	1804.168	244.174	SKAGIT	Washington	53057	1774.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	1804.154
4	1804.168	244.174	SKAGIT	Washington	53057	1774.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	0.011
5	188.267	114.586	ISLAND	Washington	53029	208.0	4	188.267	114.595	ISLAND	Washington	53029	212.0	188.256
6	2501.895	236.597	FERRY	Washington	53019	2220.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	2501.895
7	2022.405	307.549	JEFFERSON	Washington	53031	1805.0	1	1828.394	222.468	CLALLAM	Washington	53009	1650.5	0.935
7	2022.405	307.549	JEFFERSON	Washington	53031	1805.0	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	2021.457
7	2022.405	307.549	JEFFERSON	Washington	53031	1805.0	11	993.570	200.424	MASON	Washington	53045	896.9	0.001
8	2336.814	225.967	SNOHOMISH	Washington	53061	2064.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	5.239
8	2336.814	225.967	SNOHOMISH	Washington	53061	2064.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	0.008
8	2336.814	225.967	SNOHOMISH	Washington	53061	2064.0	6	2341.395	226.402	SNOHOMISH	Washington	53061	2113.6	2331.562
8	2336.814	225.967	SNOHOMISH	Washington	53061	2064.0	12	2310.204	234.129	KING	Washington	53033	2085.5	0.000
9	3294.018	308.469	CHELAN	Washington	53007	2900.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	0.001
9	3294.018	308.469	CHELAN	Washington	53007	2900.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	2593.573
9	3294.018	308.469	CHELAN	Washington	53007	2900.0	6	2341.395	226.402	SNOHOMISH	Washington	53061	2113.6	0.239
9	3294.018	308.469	CHELAN	Washington	53007	2900.0	12	2310.204	234.129	KING	Washington	53033	2085.5	0.001
9	3294.018	308.469	CHELAN	Washington	53007	2900.0	14	8092.024	479.757	YAKIMA	Washington	53077	7304.9	700.204
10	2778.683	295.981	STEVENS	Washington	53065	2505.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	2778.683
11	1608.691	192.351	PEND OREILLE	Washington	53051	1361.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	1608.691
12	1403.588	166.758	BOUNDARY	Idaho	16021	1276.0	7	14689.742	831.182	NEZ PERCES	Idaho	16069	13260.8	1403.588
13	399.122	147.655	KITSAP	Washington	53035	371.0	8	399.121	147.656	KITSAP	Washington	53035	360.3	399.115
13	399.122	147.655	KITSAP	Washington	53035	371.0	11	993.570	200.424	MASON	Washington	53045	896.9	0.001
13	399.122	147.655	KITSAP	Washington	53035	371.0	2319	0.000	0.000	PIERCE	Washington	53053	1689.9	0.000
14	2065.687	254.062	GRAYS HARBOR/CHE	Washington	53027	1869.0	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	11.850
14	2065.687	254.062	GRAYS HARBOR/CHE	Washington	53027	1869.0	9	2066.593	253.281	CHEHALIS	Washington	53081	1865.6	2042.539
14	2065.687	254.062	GRAYS HARBOR/CHE	Washington	53027	1869.0	11	993.570	200.424	MASON	Washington	53045	896.9	0.179
14	2065.687	254.062	GRAYS HARBOR/CHE	Washington	53027	1869.0	17	690.232	155.094	THURSTON	Washington	53067	623.1	0.001
