FID_us1910	AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	FID_us1870	AREA_1	PERIMETE_1	COUNTY_1	STATE_1	ID_1	CNTY_ARE_1	new_area
0	2319.037	255.972	WHATCOM	Washington	53073	2082.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	2319.034
0	2319.037	255.972	WHATCOM	Washington	53073	2082.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	0.001
1	1866.931	224.961	CLALLAM	Washington	53009	1726.0	1	1828.394	222.468	CLALLAM	Washington	53009	1650.5	1827.453
1	1866.931	224.961	CLALLAM	Washington	53009	1726.0	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	39.478
2	202.592	93.505	SAN JUAN	Washington	53055	178.0	2	203.316	93.389	SAN JUAN	Washington	53055	179.0	202.376
3	5924.152	377.444	OKANOGAN	Washington	53047	5221.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	0.004
3	5924.152	377.444	OKANOGAN	Washington	53047	5221.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	5924.149
4	1795.401	241.117	SKAGIT	Washington	53057	1774.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	1795.392
4	1795.401	241.117	SKAGIT	Washington	53057	1774.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	0.008
5	188.269	114.593	ISLAND	Washington	53029	208.0	4	188.267	114.595	ISLAND	Washington	53029	212.0	188.265
6	2501.915	236.601	FERRY	Washington	53019	2220.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	2501.915
7	2022.394	307.543	JEFFERSON	Washington	53031	1747.0	1	1828.394	222.468	CLALLAM	Washington	53009	1650.5	0.935
7	2022.394	307.543	JEFFERSON	Washington	53031	1747.0	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	2021.454
7	2022.394	307.543	JEFFERSON	Washington	53031	1747.0	11	993.570	200.424	MASON	Washington	53045	896.9	0.001
8	2336.778	225.964	SNOHOMISH	Washington	53061	2064.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	5.208
8	2336.778	225.964	SNOHOMISH	Washington	53061	2064.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	0.002
8	2336.778	225.964	SNOHOMISH	Washington	53061	2064.0	6	2341.395	226.402	SNOHOMISH	Washington	53061	2113.6	2331.566
9	3294.017	308.470	CHELAN	Washington	53007	2900.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	2593.587
9	3294.017	308.470	CHELAN	Washington	53007	2900.0	6	2341.395	226.402	SNOHOMISH	Washington	53061	2113.6	0.236
9	3294.017	308.470	CHELAN	Washington	53007	2900.0	14	8092.024	479.757	YAKIMA	Washington	53077	7304.9	700.194
10	4387.384	318.933	STEVENS	Washington	53065	3866.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	4387.384
11	3549.169	260.704	BONNER	Idaho	16017	3129.0	7	14689.742	831.182	NEZ PERCES	Idaho	16069	13260.8	3549.169
12	399.128	147.655	KITSAP	Washington	53035	371.0	8	399.121	147.656	KITSAP	Washington	53035	360.3	399.118
12	399.128	147.655	KITSAP	Washington	53035	371.0	2319	0.000	0.000	PIERCE	Washington	53053	1689.9	0.007
13	2065.707	254.062	GRAYS HARBOR/CHE	Washington	53027	1927.0	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	11.850
13	2065.707	254.062	GRAYS HARBOR/CHE	Washington	53027	1927.0	9	2066.593	253.281	CHEHALIS	Washington	53081	1865.6	2042.553
13	2065.707	254.062	GRAYS HARBOR/CHE	Washington	53027	1927.0	11	993.570	200.424	MASON	Washington	53045	896.9	0.178
13	2065.707	254.062	GRAYS HARBOR/CHE	Washington	53027	1927.0	18	1113.426	211.434	PACIFIC	Washington	53049	1005.1	8.554
13	2065.707	254.062	GRAYS HARBOR/CHE	Washington	53027	1927.0	20	2407.470	259.849	LEWIS	Washington	53041	2173.3	2.570
14	3895.408	294.022	LINCOLN	Montana	30053	3530.0	10	20794.699	763.654	MISSOULA	Montana	30063	18771.8	3895.408
15	1009.282	202.524	MASON	Washington	53045	930.0	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	3.332
15	1009.282	202.524	MASON	Washington	53045	930.0	9	2066.593	253.281	CHEHALIS	Washington	53081	1865.6	11.180
15	1009.282	202.524	MASON	Washington	53045	930.0	11	993.570	200.424	MASON	Washington	53045	896.9	990.740
15	1009.282	202.524	MASON	Washington	53045	930.0	17	690.232	155.094	THURSTON	Washington	53067	623.1	4.029
16	2319.849	234.472	KING	Washington	53033	2111.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	0.002
16	2319.849	234.472	KING	Washington	53033	2111.0	6	2341.395	226.402	SNOHOMISH	Washington	53061	2113.6	9.593
16	2319.849	234.472	KING	Washington	53033	2111.0	12	2310.204	234.129	KING	Washington	53033	2085.5	2310.201
16	2319.849	234.472	KING	Washington	53033	2111.0	14	8092.024	479.757	YAKIMA	Washington	53077	7304.9	0.051
16	2319.849	234.472	KING	Washington	53033	2111.0	2319	0.000	0.000	PIERCE	Washington	53053	1689.9	0.000
17	6933.237	428.535	FLATHEAD	Montana	30029	6070.0	10	20794.699	763.654	MISSOULA	Montana	30063	18771.8	5890.399
17	6933.237	428.535	FLATHEAD	Montana	30029	6070.0	13	13379.131	810.640	DEER LODGE	Montana	30023	12077.6	1042.838
18	2036.671	251.060	DOUGLAS	Washington	53017	1787.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	2036.666
18	2036.671	251.060	DOUGLAS	Washington	53017	1787.0	14	8092.024	479.757	YAKIMA	Washington	53077	7304.9	0.005
19	8513.422	453.014	TETON	Montana	30099	7581.0	10	20794.699	763.654	MISSOULA	Montana	30063	18771.8	534.150
19	8513.422	453.014	TETON	Montana	30099	7581.0	13	13379.131	810.640	DEER LODGE	Montana	30023	12077.6	5661.679
19	8513.422	453.014	TETON	Montana	30099	7581.0	16	16341.592	513.072	CHOTEAU	Montana	30015	14751.9	2311.314
19	8513.422	453.014	TETON	Montana	30099	7581.0	31	3006.467	403.945	LEWIS AND CLARKE	Montana	30049	2714.0	2.638
20	7766.643	465.764	AROOSTOOK	Maine	23003	6453.0	15	7766.643	465.764	AROOSTOOK	Maine	23003	7011.1	7766.643
21	3110.075	283.729	GRANT	Washington	53025	2720.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	3110.071
21	3110.075	283.729	GRANT	Washington	53025	2720.0	14	8092.024	479.757	YAKIMA	Washington	53077	7304.9	0.005
22	2594.077	253.371	KITTITAS	Washington	53037	2329.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	0.001
22	2594.077	253.371	KITTITAS	Washington	53037	2329.0	12	2310.204	234.129	KING	Washington	53033	2085.5	0.001
22	2594.077	253.371	KITTITAS	Washington	53037	2329.0	14	8092.024	479.757	YAKIMA	Washington	53077	7304.9	2594.075
23	2599.109	229.698	LINCOLN	Washington	53043	2302.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	2599.109
24	17739.623	604.147	CHOUTEAU	Montana	30015	15972.0	16	16341.592	513.072	CHOTEAU	Montana	30015	14751.9	12213.861
24	17739.623	604.147	CHOUTEAU	Montana	30015	15972.0	19	43443.277	1090.762	BIG HORN	Montana	30003	39217.2	5508.860
24	17739.623	604.147	CHOUTEAU	Montana	30015	15972.0	22	166398.000	2168.897	UNORGANIZED DK	North Dakota	57999	150211.2	15.952
24	17739.623	604.147	CHOUTEAU	Montana	30015	15972.0	43	11390.034	465.334	MEAGHER	Montana	30059	10282.0	0.710
25	790.834	171.684	THURSTON	Washington	53067	709.0	9	2066.593	253.281	CHEHALIS	Washington	53081	1865.6	12.860
25	790.834	171.684	THURSTON	Washington	53067	709.0	11	993.570	200.424	MASON	Washington	53045	896.9	0.898
25	790.834	171.684	THURSTON	Washington	53067	709.0	17	690.232	155.094	THURSTON	Washington	53067	623.1	686.065
25	790.834	171.684	THURSTON	Washington	53067	709.0	20	2407.470	259.849	LEWIS	Washington	53041	2173.3	89.843
25	790.834	171.684	THURSTON	Washington	53067	709.0	2319	0.000	0.000	PIERCE	Washington	53053	1689.9	1.169
26	2020.223	202.138	SPOKANE	Washington	53063	1756.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	2020.223
27	3278.930	341.975	SANDERS	Montana	30089	2859.0	10	20794.699	763.654	MISSOULA	Montana	30063	18771.8	3278.930
27	3278.930	341.975	SANDERS	Montana	30089	2859.0	21	5508.934	388.906	SHOSHONE	Idaho	16079	4973.0	0.000
28	951.038	203.490	PACIFIC	Washington	53049	895.0	18	1113.426	211.434	PACIFIC	Washington	53049	1005.1	951.038
29	2340.160	208.458	KOOTENAI	Idaho	16055	2043.0	7	14689.742	831.182	NEZ PERCES	Idaho	16069	13260.8	2340.158
29	2340.160	208.458	KOOTENAI	Idaho	16055	2043.0	21	5508.934	388.906	SHOSHONE	Idaho	16079	4973.0	0.002
30	2678.427	263.560	LEWIS	Washington	53041	2369.0	14	8092.024	479.757	YAKIMA	Washington	53077	7304.9	36.511
30	2678.427	263.560	LEWIS	Washington	53041	2369.0	18	1113.426	211.434	PACIFIC	Washington	53049	1005.1	13.480
30	2678.427	263.560	LEWIS	Washington	53041	2369.0	20	2407.470	259.849	LEWIS	Washington	53041	2173.3	2313.410
30	2678.427	263.560	LEWIS	Washington	53041	2369.0	24	201.340	78.343	WAHKIAKUM	Washington	53069	181.8	73.120
30	2678.427	263.560	LEWIS	Washington	53041	2369.0	26	425.635	99.201	COWLITZ	Washington	53015	384.2	0.011
30	2678.427	263.560	LEWIS	Washington	53041	2369.0	28	1513.351	167.716	CLARKE	Washington	53011	1366.1	0.213
30	2678.427	263.560	LEWIS	Washington	53041	2369.0	29	2285.150	201.056	SKAMANIA	Washington	53059	2062.9	237.420
30	2678.427	263.560	LEWIS	Washington	53041	2369.0	2319	0.000	0.000	PIERCE	Washington	53053	1689.9	4.261
31	2856.528	269.950	SHOSHONE	Idaho	16079	2579.0	7	14689.742	831.182	NEZ PERCES	Idaho	16069	13260.8	0.004
31	2856.528	269.950	SHOSHONE	Idaho	16079	2579.0	10	20794.699	763.654	MISSOULA	Montana	30063	18771.8	0.006
31	2856.528	269.950	SHOSHONE	Idaho	16079	2579.0	21	5508.934	388.906	SHOSHONE	Idaho	16079	4973.0	2856.517
32	14741.595	634.314	VALLEY	Montana	30105	13515.0	19	43443.277	1090.762	BIG HORN	Montana	30003	39217.2	0.908
32	14741.595	634.314	VALLEY	Montana	30105	13515.0	22	166398.000	2168.897	UNORGANIZED DK	North Dakota	57999	150211.2	14740.687
33	4677.468	315.953	YAKIMA	Washington	53077	5059.0	14	8092.024	479.757	YAKIMA	Washington	53077	7304.9	3800.595
33	4677.468	315.953	YAKIMA	Washington	53077	5059.0	20	2407.470	259.849	LEWIS	Washington	53041	2173.3	0.001
33	4677.468	315.953	YAKIMA	Washington	53077	5059.0	29	2285.150	201.056	SKAMANIA	Washington	53059	2062.9	1.314
33	4677.468	315.953	YAKIMA	Washington	53077	5059.0	39	3947.414	330.695	KLIKITAT	Washington	53039	3563.4	875.559
33	4677.468	315.953	YAKIMA	Washington	53077	5059.0	2319	0.000	0.000	PIERCE	Washington	53053	1689.9	0.000
34	5441.014	415.985	BELTRAMI	Minnesota	27007	3822.0	23	7962.710	424.461	KITTSON/PEMBINA	Minnesota	27069	7188.1	2827.971
34	5441.014	415.985	BELTRAMI	Minnesota	27007	3822.0	35	6926.054	516.453	ITASCA	Minnesota	27061	6252.3	256.111
34	5441.014	415.985	BELTRAMI	Minnesota	27007	3822.0	47	4977.805	292.149	POLK	Minnesota	27119	4493.6	0.083
34	5441.014	415.985	BELTRAMI	Minnesota	27007	3822.0	48	3275.441	268.973	BELTRAMI	Minnesota	27007	2956.8	2132.556
34	5441.014	415.985	BELTRAMI	Minnesota	27007	3822.0	60	5614.156	379.112	CASS	Minnesota	27021	5068.0	224.147
35	268.055	89.483	WAHKIAKUM	Washington	53069	267.0	18	1113.426	211.434	PACIFIC	Washington	53049	1005.1	140.236
35	268.055	89.483	WAHKIAKUM	Washington	53069	267.0	24	201.340	78.343	WAHKIAKUM	Washington	53069	181.8	127.817
35	268.055	89.483	WAHKIAKUM	Washington	53069	267.0	25	1037.722	152.596	CLATSOP	Oregon	41007	936.8	0.000
35	268.055	89.483	WAHKIAKUM	Washington	53069	267.0	34	756.518	114.099	COLUMBIA	Oregon	41009	682.9	0.002
36	1440.829	165.958	DIVIDE	North Dakota	38023	1270.0	22	166398.000	2168.897	UNORGANIZED DK	North Dakota	57999	150211.2	1440.737
37	2106.085	216.070	ADAMS	Washington	53001	1912.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	2106.085
