FID_us1900	AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	FID_us1870	AREA_1	PERIMETE_1	COUNTY_1	STATE_1	ID_1	CNTY_ARE_1	new_area
0	2318.994	255.972	WHATCOM	Washington	53073	2226.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	2318.994
1	1866.921	224.959	CLALLAM	Washington	53009	1807.0	1	1828.394	222.468	CLALLAM	Washington	53009	1650.5	1827.459
1	1866.921	224.959	CLALLAM	Washington	53009	1807.0	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	39.463
2	202.598	93.502	SAN JUAN	Washington	53055	187.0	2	203.316	93.389	SAN JUAN	Washington	53055	179.0	202.384
3	5924.148	377.444	OKANOGAN	Washington	53047	5318.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	0.002
3	5924.148	377.444	OKANOGAN	Washington	53047	5318.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	5924.146
4	1795.438	241.118	SKAGIT	Washington	53057	1874.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	1795.435
4	1795.438	241.118	SKAGIT	Washington	53057	1874.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	0.003
5	188.269	114.595	ISLAND	Washington	53029	238.0	4	188.267	114.595	ISLAND	Washington	53029	212.0	188.267
6	2501.931	236.603	FERRY	Washington	53019	2313.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	2501.931
7	2022.405	307.543	JEFFERSON	Washington	53031	1765.0	1	1828.394	222.468	CLALLAM	Washington	53009	1650.5	0.935
7	2022.405	307.543	JEFFERSON	Washington	53031	1765.0	5	2076.115	304.893	JEFFERSON	Washington	53031	1874.2	2021.470
7	2022.405	307.543	JEFFERSON	Washington	53031	1765.0	11	993.570	200.424	MASON	Washington	53045	896.9	0.001
8	2336.777	225.965	SNOHOMISH	Washington	53061	1651.0	0	4119.638	334.044	WHATCOM	Washington	53073	3718.9	5.208
8	2336.777	225.965	SNOHOMISH	Washington	53061	1651.0	6	2341.395	226.402	SNOHOMISH	Washington	53061	2113.6	2331.569
9	3294.011	308.474	CHELAN	Washington	53007	3070.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	2593.595
9	3294.011	308.474	CHELAN	Washington	53007	3070.0	6	2341.395	226.402	SNOHOMISH	Washington	53061	2113.6	0.233
9	3294.011	308.474	CHELAN	Washington	53007	3070.0	14	8092.024	479.757	YAKIMA	Washington	53077	7304.9	700.183
10	4387.384	318.933	STEVENS	Washington	53065	3945.0	3	31067.588	839.401	STEVENS	Washington	53065	28045.4	4387.384
11	5889.330	383.759	KOOTENAI	Idaho	16055	5595.0	7	14689.742	831.182	NEZ PERCES	Idaho	16069	13260.8	5889.329
