FID_us1890	AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	FID_us1880	AREA_1	PERIMETE_1	COUNTY_1	STATE_1	ID_1	CNTY_ARE_1	new_area
0	2318.995	255.971	WHATCOM	Washington	53073	2093.4	0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	2318.995
1	1866.921	224.959	CLALLAM	Washington	53009	1685.3	1	1866.921	224.959	CLALLAM	Washington	53009	1685.3	1866.921
2	202.598	93.502	SAN JUAN	Washington	53055	182.9	2	202.598	93.502	SAN JUAN	Washington	53055	179.0	202.598
3	8536.977	490.851	OKANOGAN	Washington	53047	7706.5	0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	0.000
3	8536.977	490.851	OKANOGAN	Washington	53047	7706.5	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	8536.962
3	8536.977	490.851	OKANOGAN	Washington	53047	7706.5	13	9766.091	600.145	SPOKANE	Washington	53063	8816.1	0.000
3	8536.977	490.851	OKANOGAN	Washington	53047	7706.5	15	9453.691	510.001	YAKIMA	Washington	53077	8534.1	0.014
4	1795.435	241.118	SKAGIT	Washington	53057	1620.8	0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	1795.435
5	188.267	114.595	ISLAND	Washington	53029	170.0	4	188.267	114.595	ISLAND	Washington	53029	212.0	188.267
6	6869.854	369.357	STEVENS	Washington	53065	6201.6	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	6869.852
6	6869.854	369.357	STEVENS	Washington	53065	6201.6	13	9766.091	600.145	SPOKANE	Washington	53063	8816.1	0.002
7	2022.405	307.543	JEFFERSON	Washington	53031	1825.7	5	2022.405	307.543	JEFFERSON	Washington	53031	1825.7	2022.405
8	2336.777	225.965	SNOHOMISH	Washington	53061	2109.5	6	2336.777	225.965	SNOHOMISH	Washington	53061	2109.5	2336.777
9	5889.330	383.759	KOOTENAI	Idaho	16055	5316.4	7	5889.330	383.759	KOOTENAI	Idaho	16055	5316.4	5889.329
9	5889.330	383.759	KOOTENAI	Idaho	16055	5316.4	21	5508.934	388.906	SHOSHONE	Idaho	16079	4973.0	0.001
10	399.121	147.656	KITSAP	Washington	53035	360.3	8	399.121	147.656	KITSAP	Washington	53035	360.3	399.121
11	2065.701	254.061	GRAYS HARBOR/CHE	Washington	53027	1864.8	9	2065.701	254.061	CHEHALIS	Washington	53081	1864.8	2065.701
12	20947.367	771.012	MISSOULA	Montana	30063	18909.7	10	20947.977	771.113	MISSOULA	Montana	30063	18910.2	20947.367
12	20947.367	771.012	MISSOULA	Montana	30063	18909.7	19	8132.123	610.671	DEERLODGE	Montana	30023	7341.1	0.000
13	1011.035	202.591	MASON	Washington	53045	912.7	11	1011.035	202.591	MASON	Washington	53045	912.7	1011.035
14	2319.849	234.470	KING	Washington	53033	2094.2	12	2319.849	234.470	KING	Washington	53033	2094.2	2319.849
15	5146.756	349.294	DOUGLAS	Washington	53017	4646.1	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	0.000
15	5146.756	349.294	DOUGLAS	Washington	53017	4646.1	13	9766.091	600.145	SPOKANE	Washington	53063	8816.1	5146.754
15	5146.756	349.294	DOUGLAS	Washington	53017	4646.1	15	9453.691	510.001	YAKIMA	Washington	53077	8534.1	0.001
16	27528.814	803.608	CHOUTEAU	Montana	30015	24850.9	14	28438.947	773.705	CHOTEAU	Montana	30015	25672.5	27525.474
16	27528.814	803.608	CHOUTEAU	Montana	30015	24850.9	19	8132.123	610.671	DEERLODGE	Montana	30023	7341.1	0.003
16	27528.814	803.608	CHOUTEAU	Montana	30015	24850.9	36	3092.984	395.020	LEWIS AND CLARKE	Montana	30049	2792.1	2.627
16	27528.814	803.608	CHOUTEAU	Montana	30015	24850.9	59	15494.979	579.195	MEAGHER	Montana	30059	13987.7	0.710
17	3294.734	279.916	KITTITAS	Washington	53037	2974.2	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	0.000
17	3294.734	279.916	KITTITAS	Washington	53037	2974.2	15	9453.691	510.001	YAKIMA	Washington	53077	8534.1	3294.734
18	7766.643	465.764	AROOSTOOK	Maine	23003	7011.1	16	7766.643	465.764	AROOSTOOK	Maine	23003	7011.1	7766.643
19	2599.111	229.699	LINCOLN	Washington	53043	2346.3	13	9766.091	600.145	SPOKANE	Washington	53063	8816.1	2599.111
20	790.834	171.683	THURSTON	Washington	53067	713.9	17	790.834	171.683	THURSTON	Washington	53067	713.9	790.834
21	2020.224	202.139	SPOKANE	Washington	53063	1823.7	13	9766.091	600.145	SPOKANE	Washington	53063	8816.1	2020.225
22	951.039	203.490	PACIFIC	Washington	53049	858.5	18	951.039	203.490	PACIFIC	Washington	53049	858.5	951.038
23	7002.010	537.185	DEER LODGE	Montana	30023	6320.9	14	28438.947	773.705	CHOTEAU	Montana	30015	25672.5	0.001
23	7002.010	537.185	DEER LODGE	Montana	30023	6320.9	19	8132.123	610.671	DEERLODGE	Montana	30023	7341.1	7002.009
24	2678.437	263.561	LEWIS	Washington	53041	2417.9	20	2678.441	263.560	LEWIS	Washington	53041	2417.9	2678.437
25	5508.934	388.906	SHOSHONE	Idaho	16079	4973.0	21	5508.934	388.906	SHOSHONE	Idaho	16079	4973.0	5508.934
26	29263.848	695.130	DAWSON	Montana	30021	26417.1	22	29632.248	697.842	DAWSON	Montana	30021	26749.7	29253.443
26	29263.848	695.130	DAWSON	Montana	30021	26417.1	25	3827.202	277.301	WALLETTE	North Dakota	38123	3454.9	2.471
26	29263.848	695.130	DAWSON	Montana	30021	26417.1	59	15494.979	579.195	MEAGHER	Montana	30059	13987.7	0.511
26	29263.848	695.130	DAWSON	Montana	30021	26417.1	60	5721.501	333.840	HOWARD	North Dakota	38119	5164.9	5.937
26	29263.848	695.130	DAWSON	Montana	30021	26417.1	89	32823.777	779.013	CUSTER	Montana	30017	29630.8	0.906
26	29263.848	695.130	DAWSON	Montana	30021	26417.1	96	3976.052	256.112	BILLINGS	North Dakota	38007	3589.3	0.578
27	6219.056	406.253	YAKIMA	Washington	53077	5614.1	15	9453.691	510.001	YAKIMA	Washington	53077	8534.1	6158.943
27	6219.056	406.253	YAKIMA	Washington	53077	5614.1	49	2597.521	309.227	KLICKITAT	Washington	53039	2344.8	60.113
27	6219.056	406.253	YAKIMA	Washington	53077	5614.1	2609	0.000	0.000	PIERCE	Washington	53053	1689.9	0.000
28	7192.013	425.927	BELTRAMI	Minnesota	27007	6492.4	23	6950.332	431.420	BELTRAMI	Minnesota	27007	6274.2	6950.331
28	7192.013	425.927	BELTRAMI	Minnesota	27007	6492.4	38	2526.879	223.768	KITTSON/PEMBINA	Minnesota	27069	2281.1	0.001
28	7192.013	425.927	BELTRAMI	Minnesota	27007	6492.4	43	6297.162	397.213	ITASCA	Minnesota	27061	5684.6	0.741
28	7192.013	425.927	BELTRAMI	Minnesota	27007	6492.4	83	4748.383	398.116	CASS	Minnesota	27021	4286.5	240.813
