FID_us1920	AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	FID_us1880	AREA_1	PERIMETE_1	COUNTY_1	STATE_1	ID_1	CNTY_ARE_1	new_area
0	2310.268	256.190	WHATCOM	Washington	53073	2082.0	0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	2310.232
0	2310.268	256.190	WHATCOM	Washington	53073	2082.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	0.000
1	1866.918	224.962	CLALLAM	Washington	53009	1726.0	1	1866.921	224.959	CLALLAM	Washington	53009	1685.3	1866.897
1	1866.918	224.962	CLALLAM	Washington	53009	1726.0	5	2022.405	307.543	JEFFERSON	Washington	53031	1825.7	0.016
2	202.590	93.506	SAN JUAN	Washington	53055	178.0	2	202.598	93.502	SAN JUAN	Washington	53055	179.0	202.582
3	5924.098	377.442	OKANOGAN	Washington	53047	5221.0	0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	0.007
3	5924.098	377.442	OKANOGAN	Washington	53047	5221.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	5924.058
3	5924.098	377.442	OKANOGAN	Washington	53047	5221.0	13	9766.091	600.145	SPOKANE	Washington	53063	8816.1	0.032
4	1804.168	244.174	SKAGIT	Washington	53057	1774.0	0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	1804.154
4	1804.168	244.174	SKAGIT	Washington	53057	1774.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	0.011
5	188.267	114.586	ISLAND	Washington	53029	208.0	4	188.267	114.595	ISLAND	Washington	53029	212.0	188.256
6	2501.895	236.597	FERRY	Washington	53019	2220.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	2501.886
6	2501.895	236.597	FERRY	Washington	53019	2220.0	13	9766.091	600.145	SPOKANE	Washington	53063	8816.1	0.009
7	2022.405	307.549	JEFFERSON	Washington	53031	1805.0	5	2022.405	307.543	JEFFERSON	Washington	53031	1825.7	2022.379
7	2022.405	307.549	JEFFERSON	Washington	53031	1805.0	11	1011.035	202.591	MASON	Washington	53045	912.7	0.013
8	2336.814	225.967	SNOHOMISH	Washington	53061	2064.0	0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	0.031
8	2336.814	225.967	SNOHOMISH	Washington	53061	2064.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	0.008
8	2336.814	225.967	SNOHOMISH	Washington	53061	2064.0	6	2336.777	225.965	SNOHOMISH	Washington	53061	2109.5	2336.770
8	2336.814	225.967	SNOHOMISH	Washington	53061	2064.0	12	2319.849	234.470	KING	Washington	53033	2094.2	0.001
9	3294.018	308.469	CHELAN	Washington	53007	2900.0	0	4114.430	334.043	WHATCOM	Washington	53073	3714.2	0.001
9	3294.018	308.469	CHELAN	Washington	53007	2900.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	2593.329
9	3294.018	308.469	CHELAN	Washington	53007	2900.0	6	2336.777	225.965	SNOHOMISH	Washington	53061	2109.5	0.005
9	3294.018	308.469	CHELAN	Washington	53007	2900.0	12	2319.849	234.470	KING	Washington	53033	2094.2	0.001
9	3294.018	308.469	CHELAN	Washington	53007	2900.0	13	9766.091	600.145	SPOKANE	Washington	53063	8816.1	0.005
9	3294.018	308.469	CHELAN	Washington	53007	2900.0	15	9453.691	510.001	YAKIMA	Washington	53077	8534.1	700.677
10	2778.683	295.981	STEVENS	Washington	53065	2505.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	2778.673
10	2778.683	295.981	STEVENS	Washington	53065	2505.0	13	9766.091	600.145	SPOKANE	Washington	53063	8816.1	0.010
11	1608.691	192.351	PEND OREILLE	Washington	53051	1361.0	3	15406.814	711.067	STEVENS	Washington	53065	13908.1	1608.691
